,Author,Title,Journal,Year of publication,DOI number,Scholar Links
54, J. Aysto, Ion traps in nuclear physics-recent results and achievements, Prog Part Nucl Phys,2016,https://doi.org/10.1016%2Fj.ppnp.2016.08.001,http://scholar.google.com/scholar_lookup?&title=Ion%20traps%20in%20nuclear%20physics-recent%20results%20and%20achievements&journal=Prog.%20Part.%20Nucl.%20Phys.&doi=10.1016%2Fj.ppnp.2016.08.001&volume=91&pages=259-293&publication_year=2016&author=Eronen%2CT&author=Kankainen%2CA&author=Aysto%2CJ
55, M. Brodeur et al., Penning-trap mass measurements in atomic and nuclear physics, Ann Rev Nucl Part Sci,2018,https://doi.org/10.1146%2Fannurev-nucl-102711-094939,http://scholar.google.com/scholar_lookup?&title=Penning-trap%20mass%20measurements%20in%20atomic%20and%20nuclear%20physics&journal=Ann.%20Rev.%20Nucl.%20Part.%20Sci.&doi=10.1146%2Fannurev-nucl-102711-094939&volume=68&pages=45-74&publication_year=2018&author=Dilling%2CJ&author=Blaum%2CK&author=Brodeur%2CM
56, The AME 2020 atomic mass evaluation (I). Evaluation of input data, and adjustment procedures, Chin Phys,2021,https://doi.org/10.1088%2F1674-1137%2Fabddb0,http://scholar.google.com/scholar_lookup?&title=The%20AME%202020%20atomic%20mass%20evaluation%20%28I%29.%20Evaluation%20of%20input%20data%2C%20and%20adjustment%20procedures&journal=Chin.%20Phys.%20C&doi=10.1088%2F1674-1137%2Fabddb0&volume=45&publication_year=2021&author=Huang%2CW&author=Wang%2CM&author=Kondev%2CF
57, M. Kortelainen et al., The limits of the nuclear landscape,,2012,https://doi.org/10.1038%2Fnature11188,http://scholar.google.com/scholar_lookup?&title=The%20limits%20of%20the%20nuclear%20landscape&journal=Nature&doi=10.1038%2Fnature11188&volume=486&pages=509-512&publication_year=2012&author=Erler%2CJ&author=Birge%2CN&author=Kortelainen%2CM
58, Y. Litvinov et al., Masses of exotic nuclei, Prog Part Nucl Phys,2021,https://doi.org/10.1016%2Fj.ppnp.2021.103882,http://scholar.google.com/scholar_lookup?&title=Masses%20of%20exotic%20nuclei&journal=Prog.%20Part.%20Nucl.%20Phys.&doi=10.1016%2Fj.ppnp.2021.103882&volume=120&publication_year=2021&author=Yamaguchi%2CT&author=Koura%2CH&author=Litvinov%2CY
59, J.E. Lawler et al., Origin of the heaviest elements: the rapid neutron-capture process, Rev Mod Phys,2021,https://doi.org/10.1103%2FRevModPhys.93.015002,http://scholar.google.com/scholar_lookup?&title=Origin%20of%20the%20heaviest%20elements%3A%20the%20rapid%20neutron-capture%20process&journal=Rev.%20Mod.%20Phys.&doi=10.1103%2FRevModPhys.93.015002&volume=93&publication_year=2021&author=Cowan%2CJJ&author=Sneden%2CC&author=Lawler%2CJE
60, K. Beckert et al., First isochronous mass spectrometry at the experimental storage ring ESR, Nucl Instrum Meth A,2000,https://doi.org/10.1016%2FS0168-9002%2899%2901192-4,http://scholar.google.com/scholar_lookup?&title=First%20isochronous%20mass%20spectrometry%20at%20the%20experimental%20storage%20ring%20ESR&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2FS0168-9002%2899%2901192-4&volume=446&pages=569-580&publication_year=2000&author=Hausmann%2CM&author=Attallah%2CF&author=Beckert%2CK
61, 48Mn, 41Ti and 45Cr ions with isochronous mass spectrometry, Phys Lett,2004,https://doi.org/10.1016%2Fj.physletb.2004.02.014,http://scholar.google.com/scholar_lookup?&title=Direct%20mass%20measurement%20of%20bare%20short-lived%2044V%2C%2048Mn%2C%2041Ti%20and%2045Cr%20ions%20with%20isochronous%20mass%20spectrometry&journal=Phys.%20Lett.%20B&doi=10.1016%2Fj.physletb.2004.02.014&volume=586&pages=27-32&publication_year=2004&author=Stadlmann%2CJ&author=Hausmann%2CM&author=Attallah%2CF
62, T. Uesaka et al., Storage ring mass spectrometry for nuclear structure and astrophysics research, Phys Scr,2016,https://doi.org/10.1088%2F0031-8949%2F91%2F7%2F073002,http://scholar.google.com/scholar_lookup?&title=Storage%20ring%20mass%20spectrometry%20for%20nuclear%20structure%20and%20astrophysics%20research&journal=Phys.%20Scr.&doi=10.1088%2F0031-8949%2F91%2F7%2F073002&volume=91&publication_year=2016&author=Zhang%2CYH&author=Litvinov%2CYA&author=Uesaka%2CT
63, T.M. Sprouse et al., First application of mass measurements with the rare-RI ring reveals the solar r-process abundance trend at A=122 and A=123, Phys Rev Lett,2022,https://doi.org/10.1103%2FPhysRevLett.128.152701,http://scholar.google.com/scholar_lookup?&title=First%20application%20of%20mass%20measurements%20with%20the%20rare-RI%20ring%20reveals%20the%20solar%20r-process%20abundance%20trend%20at%20A%3D122%20and%20A%3D123&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.128.152701&volume=128&publication_year=2022&author=Li%2CHF&author=Naimi%2CS&author=Sprouse%2CTM
64, Y.A. Litvinov, Precision experiments with relativistic exotic nuclei at GSI, J Phys G: Nucl Part Phys,2005,https://doi.org/10.1088%2F0954-3899%2F31%2F10%2F072,http://scholar.google.com/scholar_lookup?&title=Precision%20experiments%20with%20relativistic%20exotic%20nuclei%20at%20GSI&journal=J.%20Phys.%20G%3A%20Nucl.%20Part.%20Phys.&doi=10.1088%2F0954-3899%2F31%2F10%2F072&volume=31&publication_year=2005&author=Geissel%2CH&author=Litvinov%2CYA
